,Model,ROC AUC,F1,Params
0,LogisticRegression(),0.653325384307584,0.19877650213693124,"{'C': 1, 'class_weight': None, 'max_iter': 100}"
1,KNeighborsClassifier(),0.5497603455627333,0.14876033057851237,"{'n_neighbors': 5, 'weights': 'uniform'}"
2,DecisionTreeClassifier(),0.5802878672763323,0.24570502431118316,"{'criterion': 'gini', 'max_depth': None}"
3,RandomForestClassifier(),0.6932757023055574,0.2380749574105622,"{'max_depth': None, 'n_estimators': 100}"
4,GradientBoostingClassifier(),0.6585561630322248,0.2402945113788487,"{'learning_rate': 0.1, 'n_estimators': 100}"
5,DummyClassifier(),0.5059832969382272,0.07115198451113262,{'strategy': 'stratified'}
mean,,0.60686479323711,0.19046055172119503,
