,Model,ROC AUC,F1,Params
0,LogisticRegression(),0.6492765768875397,0.19529277628471373,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 200}"
1,KNeighborsClassifier(),0.5542160322119964,0.14710962105049272,"{'n_neighbors': 55, 'weights': 'uniform'}"
2,DecisionTreeClassifier(),0.6056715364793519,0.29385574354407834,"{'criterion': 'entropy', 'max_depth': 5}"
3,RandomForestClassifier(),0.7282273640068906,0.299449753837243,"{'max_depth': 10, 'n_estimators': 200}"
4,GradientBoostingClassifier(),0.785221745633363,0.26849136526555883,"{'learning_rate': 0.1, 'n_estimators': 400}"
5,DummyClassifier(),0.5045245520006107,0.06493506493506494,{'strategy': 'stratified'}
mean,,0.637856301203292,0.2115223874861919,
