,Model,ROC AUC,F1,Params
0,LogisticRegression(),0.5220890380139045,0.1283429557369434,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 200}"
1,KNeighborsClassifier(),0.5842463969820183,0.10953750829829609,"{'n_neighbors': 55, 'weights': 'uniform'}"
2,DecisionTreeClassifier(),0.5334489748709295,0.12419731465265617,"{'criterion': 'entropy', 'max_depth': 5}"
3,RandomForestClassifier(),0.4847320985330448,0.1155215259587615,"{'max_depth': 10, 'n_estimators': 200}"
4,GradientBoostingClassifier(),0.5509139798436516,0.1389187253848908,"{'learning_rate': 0.1, 'n_estimators': 400}"
5,DummyClassifier(),0.4983203840996669,0.06508013598834385,{'strategy': 'stratified'}
mean,,0.5289584787238693,0.11359969433664863,
