,Model,ROC AUC,F1,Params
0,LogisticRegression(),0.3075197470308855,0.06884681583476765,"{'C': 1, 'class_weight': None, 'max_iter': 100}"
1,KNeighborsClassifier(),0.4019643781623689,0.03850174216027875,"{'n_neighbors': 5, 'weights': 'uniform'}"
2,DecisionTreeClassifier(),0.4271055423795883,0.07912999928453888,"{'criterion': 'gini', 'max_depth': None}"
3,RandomForestClassifier(),0.3298699626751037,0.06809085711315557,"{'max_depth': None, 'n_estimators': 100}"
4,GradientBoostingClassifier(),0.31300670273460257,0.0918906139175664,"{'learning_rate': 0.1, 'n_estimators': 100}"
5,DummyClassifier(),0.5031208319594104,0.07504780114722753,{'strategy': 'stratified'}
mean,,0.38043119415699317,0.07025130490958913,
