,Model,ROC AUC,F1,Params
0,LogisticRegression(),0.4916948581335637,0.11988812457479778,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 200}"
1,KNeighborsClassifier(),0.5641968798950857,0.13564614050303558,"{'n_neighbors': 55, 'weights': 'uniform'}"
2,DecisionTreeClassifier(),0.5398400731442774,0.13588411273815149,"{'criterion': 'entropy', 'max_depth': 5}"
3,RandomForestClassifier(),0.4693007271957669,0.11509633281352181,"{'max_depth': 10, 'n_estimators': 200}"
4,GradientBoostingClassifier(),0.42551249803720004,0.11031305054885487,"{'learning_rate': 0.1, 'n_estimators': 400}"
5,DummyClassifier(),0.496801258958281,0.07407407407407408,{'strategy': 'stratified'}
mean,,0.49789104922736244,0.11515030587540594,
