,Model,ROC AUC,F1,Params
0,LogisticRegression(),0.24736520208172502,0.04400635930047696,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 200}"
1,KNeighborsClassifier(),0.3421987668429514,0.042190124286194154,"{'n_neighbors': 55, 'weights': 'uniform'}"
2,DecisionTreeClassifier(),0.4474583259114152,0.10399064084232418,"{'criterion': 'entropy', 'max_depth': 5}"
3,RandomForestClassifier(),0.28852514569494914,0.0932321511537866,"{'max_depth': 10, 'n_estimators': 200}"
4,GradientBoostingClassifier(),0.561605700245892,0.1275482665559477,"{'learning_rate': 0.1, 'n_estimators': 400}"
5,DummyClassifier(),0.4989335756580356,0.0688818821246665,{'strategy': 'stratified'}
mean,,0.39768111940582807,0.07997490404389936,
