,Model,ROC AUC,F1,Params
0,LogisticRegression(),0.5209460522828726,0.12833168805528133,"{'C': 15, 'class_weight': 'balanced', 'max_iter': 50}"
1,KNeighborsClassifier(),0.5841820800953599,0.10387284531005149,"{'n_neighbors': 60, 'weights': 'uniform'}"
2,DecisionTreeClassifier(),0.5268187763104966,0.1315909090909091,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10}"
3,RandomForestClassifier(),0.487633735279887,0.12275132275132274,"{'max_depth': 10, 'n_estimators': 100}"
4,GradientBoostingClassifier(),0.5402167622716114,0.13682439043481665,"{'learning_rate': 0.1, 'n_estimators': 400}"
5,DummyClassifier(),0.4951903222148346,0.0696999031945789,{'strategy': 'stratified'}
mean,,0.5258312880758437,0.11551184313949336,
