,Model,ROC AUC,F1,Params
0,LogisticRegression(),0.7262675963740314,0.20606624983371027,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 200}"
1,KNeighborsClassifier(),0.6314155540291551,0.20896595094780343,"{'n_neighbors': 55, 'weights': 'uniform'}"
2,DecisionTreeClassifier(),0.689989511932006,0.21137488891710043,"{'criterion': 'entropy', 'max_depth': 5}"
3,RandomForestClassifier(),0.7370288116422254,0.17800995515253068,"{'max_depth': 10, 'n_estimators': 200}"
4,GradientBoostingClassifier(),0.6995171888963199,0.18373942036419594,"{'learning_rate': 0.1, 'n_estimators': 400}"
5,DummyClassifier(),0.502093517320651,0.07059961315280465,{'strategy': 'stratified'}
mean,,0.6643853633657314,0.17645934639469088,
