,Model,ROC AUC,F1,Params
0,LogisticRegression(),0.8411931216928872,0.3253484320557491,"{'C': 0.5, 'class_weight': 'balanced', 'max_iter': 300}"
1,KNeighborsClassifier(),0.6267753309362718,0.0009680542110358179,"{'n_neighbors': 55, 'weights': 'distance'}"
2,DecisionTreeClassifier(),0.8287905401864835,0.246470812666921,"{'criterion': 'entropy', 'max_depth': 5}"
3,RandomForestClassifier(),0.8520414937016176,0.24961479198767333,"{'max_depth': 10, 'n_estimators': 300}"
4,GradientBoostingClassifier(),0.8529897111600793,0.2823786939073331,"{'learning_rate': 0.05, 'n_estimators': 400}"
5,DummyClassifier(),0.4984719552572937,0.06486486486486488,{'strategy': 'stratified'}
