,Model,ROC AUC,F1,Params
0,LogisticRegression(),0.6936535529316716,0.19885864793678668,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 200}"
1,KNeighborsClassifier(),0.5241038305431798,0.12973277867869984,"{'n_neighbors': 55, 'weights': 'uniform'}"
2,DecisionTreeClassifier(),0.5398656793158613,0.1464766868104452,"{'criterion': 'entropy', 'max_depth': 5}"
3,RandomForestClassifier(),0.5237588033406123,0.13094808475537453,"{'max_depth': 10, 'n_estimators': 200}"
4,GradientBoostingClassifier(),0.42777364357113523,0.11527377521613832,"{'learning_rate': 0.1, 'n_estimators': 400}"
5,DummyClassifier(),0.49994862806157997,0.06756109247724006,{'strategy': 'stratified'}
mean,,0.5348506896273401,0.1314751776457808,
