,Model,ROC AUC,F1,Params
0,LogisticRegression(),0.6960323644985327,0.25703564727954975,"{'C': 1, 'class_weight': None, 'max_iter': 100}"
1,KNeighborsClassifier(),0.6238593483495324,0.08214285714285713,"{'n_neighbors': 5, 'weights': 'uniform'}"
2,DecisionTreeClassifier(),0.56360306142706,0.15130883906561804,"{'criterion': 'gini', 'max_depth': None}"
3,RandomForestClassifier(),0.7094438273920601,0.2409768360567427,"{'max_depth': None, 'n_estimators': 100}"
4,GradientBoostingClassifier(),0.7103722195736306,0.21767028627838103,"{'learning_rate': 0.1, 'n_estimators': 100}"
5,DummyClassifier(),0.4978282632729386,0.06736636563339028,{'strategy': 'stratified'}
mean,,0.6335231807522924,0.16941680524275649,
