,Model,ROC AUC,F1,Params
0,LogisticRegression(),0.5220890380139045,0.1283429557369434,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 200}"
1,KNeighborsClassifier(),0.5842463969820183,0.10953750829829609,"{'n_neighbors': 55, 'weights': 'uniform'}"
2,DecisionTreeClassifier(),0.5001024424191414,0.10297679506211423,"{'criterion': 'entropy', 'max_depth': 5}"
3,RandomForestClassifier(),0.47240199100397035,0.11842622950819671,"{'max_depth': 10, 'n_estimators': 200}"
4,GradientBoostingClassifier(),0.535083682440559,0.1327500377130789,"{'learning_rate': 0.05, 'n_estimators': 400}"
5,DummyClassifier(),0.4981920961160633,0.07569141193595341,{'strategy': 'stratified'}
mean,,0.5186859411626096,0.11128748970909712,
