,Model,ROC AUC,F1,Params
0,LogisticRegression(),0.3136030037954411,0.06035578144853876,"{'C': 1, 'class_weight': None, 'max_iter': 100}"
1,KNeighborsClassifier(),0.4331082922057847,0.0808080808080808,"{'n_neighbors': 5, 'weights': 'uniform'}"
2,DecisionTreeClassifier(),0.45223297253871086,0.10395282812841232,"{'criterion': 'gini', 'max_depth': None}"
3,RandomForestClassifier(),0.36811908394807796,0.09476117103235748,"{'max_depth': None, 'n_estimators': 100}"
4,GradientBoostingClassifier(),0.3519054210162653,0.09540464393276983,"{'learning_rate': 0.1, 'n_estimators': 100}"
5,DummyClassifier(),0.4953852766818657,0.0848780487804878,{'strategy': 'stratified'}
mean,,0.4023923416976909,0.08669342568844117,
