,Model,ROC AUC,F1,Params
0,LogisticRegression(),0.607837616441361,0.18987809383080903,"{'C': 1, 'class_weight': None, 'max_iter': 100}"
1,KNeighborsClassifier(),0.4806028994378789,0.11614344211440625,"{'n_neighbors': 5, 'weights': 'uniform'}"
2,DecisionTreeClassifier(),0.47688105835768857,0.11855163164953063,"{'criterion': 'gini', 'max_depth': None}"
3,RandomForestClassifier(),0.3254318669692001,0.12798645921489485,"{'max_depth': None, 'n_estimators': 100}"
4,GradientBoostingClassifier(),0.5028789742210222,0.13044029945438396,"{'learning_rate': 0.1, 'n_estimators': 100}"
5,DummyClassifier(),0.5033277383375548,0.06529044647143543,{'strategy': 'stratified'}
mean,,0.48282669229411757,0.1247150621225767,
