,Model,ROC AUC,F1,Params
0,LogisticRegression(),0.6135251656443557,0.18413905486148832,"{'C': 15, 'class_weight': 'balanced', 'max_iter': 50}"
1,KNeighborsClassifier(),0.6292285404898919,0.18223819301848052,"{'n_neighbors': 40, 'weights': 'uniform'}"
2,DecisionTreeClassifier(),0.3239570561095235,0.08755533694048205,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}"
3,RandomForestClassifier(),0.4757071554797341,0.13560815411109778,"{'max_depth': 10, 'n_estimators': 50}"
4,GradientBoostingClassifier(),0.3337825200817376,0.1148621654015182,"{'learning_rate': 0.05, 'n_estimators': 400}"
5,DummyClassifier(),0.4999665559282499,0.07752315943442224,{'strategy': 'stratified'}
mean,,0.47936116562224873,0.13032101062791485,
